Species	Overdispersion	Epsilon_Alpha_rho	Epsilon_Alpha_rho_p	Alpha_Tau_rho	Alpha_Tau_rho_p	mdn_Alph	mdn_Alph_ll	mdn_Alph_ul	mdn_Alph_iw	mdn_Eps	mdn_Eps_ll	mdn_Eps_ul	mdn_Eps_iw	mdn_Tau	mdn_Tau_ll	mdn_Tau_ul	mdn_Tau_iw	Total.N.butterflies	N.sites	N.years	First.year	Last.year
Oeneis taygete	2.15	NA	NA	NA	NA	8222	0.0002761	321767180942	321767180942	-3.497	-11.69	4.602	16.3	11.38	-21.72	61.15	82.88	NA	1	12	1993	2007
Oeneis uhleri	1.035	0.951515151515151	0	-0.939393939393939	0	33.43	5.711	206.6	201.1	-0.3552	-0.974	0.2736	1.384	4.7167	-5.457	16.33	21.86	NA	10	26	1993	2018
Oligoria maculata	2.213	0.752494873547505	0	-0.353793574846206	0.00777072396054626	1.334	0.4981	3.531	3.018	0.2901	-0.18658	0.7531	0.921	2.189	-7.034	12.478	18.834	NA	67	26	1993	2018
Panoquina errans	118.58	NA	NA	NA	NA	1.104	0.05431	23.19	23.13	0.0004014	-1.593	1.591	3.185	-6.381	-25.64	17.85	43.5	NA	1	15	1993	2007
Panoquina fusina	119.098	NA	NA	NA	NA	1.113	0.0677	18.74	18.68	0.1148	-0.6966	0.9317	1.628	-0.5993	-22.99	28.27	51.26	NA	1	17	1995	2016
Panoquina lucas	95.511	NA	NA	NA	NA	0.01271	1.283e-05	13.81	13.81	1.27	-0.7544	3.279	4.034	-22.49	-41.36	3.89	45.25	NA	1	17	1995	2016
Panoquina ocola	1.357	0.178104913953971	0.069171904704421	0.125181422351234	0.202901612830691	2.297	0.9625	5.484	4.522	0.30032	-0.10034	0.7018	0.834	2.147	-4.885	9.828	14.119	NA	126	26	1993	2018
Panoquina panoquin	0.829	0.902173913043478	3.26744446086329e-06	-0.75	5.88991946395201e-05	7.53	1.374	36.75	35.56	0.05438	-0.63196	0.7883	1.4105	-0.1785	-6.694	8.605	15.651	NA	25	26	1993	2018
Panoquina panoquinoides	1.471	0.8	0.000546145961313039	-0.0321428571428571	0.913240263248664	2.012	0.3284	13.12	12.8	0.0385	-0.6622	0.731	1.39	-1.8892	-11.22	6.78	20.52	NA	18	26	1993	2018
Panthiades bathildis	44.317	NA	NA	NA	NA	0.05251	0	Inf	Inf	-0.4737	-19643	19646	39289	-23.86	-100	Inf	Inf	NA	1	17	1995	2016
Papilio anchisiades	503.667	NA	NA	NA	NA	0.3483	0	Inf	Inf	-0.3072	-14718	14692	29410	-4.131	-100	Inf	Inf	NA	1	17	1995	2016
Papilio andraemon	116.936	-1	1	1	1	18.51	0.0001729	1955636	1955636	-1.963	-7.552	3.618	11.17	-67.74	-94.5	90.85	185.3	NA	2	17	2000	2017
Papilio aristodemus	3.049	1	1	-1	1	4.216	0.04877	308.9	308.8	0.2596	-1.483	2.074	3.557	-1.452	-10.922	9.042	19.96	NA	2	17	2000	2017
Papilio astyalus	20.171	NA	NA	NA	NA	0.1001	0	Inf	Inf	-1.017	-38713	38748	77462	-12.22	-100	Inf	Inf	NA	1	16	1993	2010
Papilio canadensis	1.368	0.874028137726768	0	0.0191904233000123	0.871757603034805	1.91	0.9269	3.705	2.751	0.3911	0.02866	0.6836	0.678	-1.59783	-6.4537	4.511	10.891	NA	83	26	1993	2018
Papilio cresphontes	2.774	0.11441277975107	0.0919572080334658	0.268285930887738	6.39380821889615e-05	0.9928	0.4878	1.933	1.4583	0.436	0.16239	0.7057	0.5418	0.2338	-3.611	4.476	8.176	NA	252	26	1993	2018
Papilio eurymedon	2.014	0.793154486586494	0	-0.130188097440641	0.387273598889296	1.827	0.7963	4.068	3.341	0.6589	0.3182	0.9942	0.7058	0.5378	-2.3659	3.694	5.83	NA	55	26	1993	2018
Papilio glaucus	1.594	0.880842153577505	0	0.430827659273421	0	1.5422	0.6713	3.498	2.873	0.6644	0.3592	0.9722	0.6186	-0.15689	-4.035	4.1	8.144	NA	366	26	1993	2018
Papilio indra	3.764	0.946428571428571	0	-0.710714285714286	0.00405507360027464	0.7808	0.2191	2.869	2.653	0.1322	-0.3072	0.543	0.8394	-3.421	-9.739	6.358	15.778	NA	17	26	1993	2018
Papilio joanae	117.661	NA	NA	NA	NA	0.3157	0	Inf	Inf	-0.3792	-26440	26418	52857	-5.857	-100	Inf	Inf	NA	1	18	1997	2018
Papilio machaon	4.496	0.816666666666667	0.0107694003527337	-0.383333333333333	0.3125	2.029	0.4581	9.037	8.558	0.07589	-0.6512	0.7187	1.37	1.937	-6.386	11.861	17.28	NA	9	26	1993	2018
Papilio multicaudata	3.001	0.436933797909408	0.00462115490712617	-0.527003484320558	0.000483853027720207	1.505	0.7012	3.061	2.348	0.4584	0.07399	0.8348	0.737	-0.54219	-4.682	3.5115	7.72	NA	46	26	1993	2018
Papilio ornythion	123.055	NA	NA	NA	NA	0.7211	0.003612	141.4	141.4	0.2289	-1.169	1.629	2.798	-0.9728	-19.06	21.08	40.14	NA	1	17	1995	2016
Papilio palamedes	1.848	0.558325219084713	1.54795859115844e-07	-0.232594936708861	0.0393537019252319	1.344	0.7197	2.388	1.7	0.6692	0.20701	1.1453	0.924	-0.4995	-5.509	4.987	10.202	NA	96	26	1993	2018
Papilio polyxenes	1.822	0.722738932847749	0	-0.0557234819768326	0.306868276827177	0.9661	0.6963	1.328	0.636	0.5736	0.3008	0.8392	0.5498	-0.9141	-4.556	3.007	7.622	NA	410	26	1993	2018
Papilio rutulus	2.51	0.468557758031442	0.000316335264559494	-0.022282980177717	0.870279601387822	2.549	1.3904	4.488	3.031	0.5707	0.29609	0.8828	0.6568	0.06975	-3.13107	3.1302	6.179	NA	66	26	1993	2018
Papilio troilus	1.87	0.597126686227191	0	0.148476536050973	0.0214715905117973	1.679	0.9096	2.922	2.039	0.5457	0.2385	0.8588	0.6377	0.7458	-3.203	4.9528	8.193	NA	298	26	1993	2018
Papilio zelicaon	2.919	0.876014405762305	0	0.132484993997599	0.357951320139923	1.435	0.6565	2.843	2.193	0.27085	-0.08734	0.6452	0.7461	-0.6974	-6.43005	5.382	10.594	NA	57	26	1993	2018
Paramacera allyni	143.36	1	1	1	1	5.192	0.1153	194.8	194.7	-0.3721	-1.426	0.7561	2.182	-3.779	-9.567	2.671	12.24	NA	2	26	1993	2018
Paratrytone snowi	6.045	0.880952380952381	0.00724206349206349	-0.238095238095238	0.582142857142857	1.258	0.2371	6.164	5.921	0.2088	-0.2572	0.7012	0.9551	-1.0874	-5.738	4.023	10.735	NA	8	26	1993	2018
Parnassius clodius	1.703	0.826625386996904	1.62999840325387e-05	-0.12280701754386	0.626636233574355	1.995	0.5832	6.79	6.194	0.5604	0.03803	1.0328	1.0058	-0.8488	-7.322	5.6876	13.52	NA	19	26	1993	2018
Parnassius phoebus	1.009	0.871428571428571	0	-0.139285714285714	0.620550663675233	1.403	0.2973	6.533	6.235	0.4205	-0.4437	1.303	1.7652	-2.432	-12.433	6.853	19.9	NA	16	26	1993	2018
Parrhasius m-album	2.179	0.790735073507351	0	-0.925112511251125	0	1.837	0.6793	4.62	3.907	-0.13079	-0.3988	0.13	0.5259	-1.1874	-5.554	4.343	9.467	NA	118	26	1993	2018
Pellicia arina	111.317	NA	NA	NA	NA	2.96	0.2502	40.27	40.02	0.1558	-0.5924	0.8715	1.464	16.18	-4.241	40.41	44.65	NA	1	17	1995	2016
Phaeostrymon alcestis	0.9	0.990909090909091	0	-0.763636363636364	0.00921598665454992	0.9406	0.04529	20.84	20.8	0.8004	-0.2963	1.786	2.163	8.703	-3.684	22.28	26.53	NA	11	26	1993	2018
Philotes sonorensis	147.269	NA	NA	NA	NA	2.188	0.007255	656.6	656.5	-0.2458	-2.977	2.483	5.459	3.483	-14.95	25.88	40.83	NA	1	11	1997	2007
Phocides pigmalion	2.544	0.973626373626374	0	-0.0197802197802198	0.951676825142244	1.746	0.618	5.008	4.4	0.3222	-0.12556	0.7661	0.9569	0.7518	-5.689	6.74	12.996	NA	18	26	1993	2018
Phocides polybius	105.488	1	1	-1	1	1.878	0.02512	139.9	139.9	-0.1597	-1.29	0.9661	2.256	0.4365	-18.27	23.5	41.78	NA	2	22	1993	2016
Phoebis agarithe	1.226	0.694612823358661	4.47245964299198e-08	0.456415948091864	0.00076238441797517	2.353	0.6877	6.794	5.966	0.09061	-0.5239	0.6689	1.1551	-0.317	-6.01	5.704	11.749	NA	62	26	1993	2018
Phoebis neleis	14.61	1	0.333333333333333	-0.5	1	6.976	0.2328	65.98	65.74	-0.2565	-0.9803	0.7805	1.746	-2.8321	-19.22	15.2288	32.64	NA	4	26	1993	2018
Phoebis philea	3.509	0.414097496706192	0.00500022651391345	0.272595520421607	0.0702899264004758	1.882	0.8207	4.013	3.038	0.198547	-0.3139	0.6336	0.9657	-0.6229	-9.4424	8.655	15.634	NA	56	26	1993	2018
Phoebis sennae	1.384	0.0208078102984821	0.753959061920857	-0.00918729327590859	0.889945804827748	2.7478	0.8113	8.705	7.805	0.52697	0.06388	0.9695	0.8947	2.50101	-5.262	10.634	14.573	NA	265	26	1993	2018
Phoebis statira	2.381	0.942857142857143	0	0.103571428571429	0.714423627861307	3.148	0.746	13.07	12.34	0.3767	-0.28312	0.9328	1.214	8.153	-7.625	21.531	30.5	NA	18	26	1993	2018
Pholisora catullus	1.503	0.370395646332678	8.28628741456022e-09	-0.393033353453144	8.23783482834264e-10	1.891	0.7962	4.54	3.729	0.1516	-0.10608	0.3853	0.4913	-0.6866	-5.2575	4.415	9.556	NA	261	26	1993	2018
Phyciodes batesii	2.791	0.918590655432761	0	-0.219389429915746	0.185090102029603	0.6001	0.2388	1.458	1.23	0.3298	0.014517	0.6768	0.6721	-3.8571	-9.894	3.3312	12.71	NA	41	26	1993	2018
Phyciodes campestris	1.294	0.869230769230769	0	-0.044331983805668	0.788196448136045	1.669	0.6629	3.938	3.298	0.6927	0.23935	1.161	0.961	0.03667	-4.583	4.925	9.264	NA	46	26	1993	2018
Phyciodes frisia	1.001	0.933333333333333	0.000749559082892416	0.283333333333333	0.462990520282187	20.98	0.01831	15592	15592	-0.2572	-2.777	2.315	5.175	11.326	-7.821	38.28	44.04	NA	10	26	1993	2018
Phyciodes mylitta	1.441	0.414376321353066	0.00550310260893444	-0.447921071176885	0.00252204759482811	6.397	3.006	13.56	10.86	0.15013	-0.2861	0.5439	0.7944	0.9468	-2.1247	4.248	6.974	NA	51	26	1993	2018
Phyciodes orseis	20.671	1	0.0833333333333333	-0.4	0.75	0.4168	0.0004227	469.9	469.9	0.8534	-0.9201	2.641	3.51	18.639	-9.598	68.65	76.05	NA	4	26	1993	2018
Phyciodes pallida	4.805	0.890909090909091	0.000428361205563253	0.445454545454545	0.172786506584626	0.1946	0.03847	0.9451	0.9109	1.0412	0.12913	1.937	1.904	-3.45	-11.415	9.938	20.12	NA	12	26	1993	2018
Phyciodes phaon	0.846	0.898685868586859	0	-0.458841884188419	2.08353647632838e-06	2.485	1.1429	5.166	4.027	0.7063	0.2722	1.0963	0.8315	3.4325	-5.121	13.301	18.67	NA	121	26	1993	2018
Phyciodes picta	1.523	0.904761904761905	0.00456349206349206	0.238095238095238	0.582142857142857	0.1886	0.009853	2.967	2.958	0.8278	0.12647	1.577	1.469	-2.093	-9.277	5.9324	13.723	NA	8	26	1993	2018
Phyciodes selenis	1.331	0.688103000864995	0	-0.27149178255373	0.00373123574186953	3.131	1.1503	7.477	6.507	0.41347	-0.10133	0.924	1.0515	-2.4267	-7.442	2.7067	10.202	NA	124	26	1993	2018
Phyciodes texana	1.055	0.522267206477733	0.000909598156742646	-0.45989714410767	0.00401293209069726	1.718	0.516	5.562	5.062	0.32904	-0.183471	0.8271	1.0437	-0.8032	-6.013	5.015	10.855	NA	41	26	1993	2018
Phyciodes tharos	1.113	0.712235055366322	0	0.00874924767131185	0.87111596015275	4.268	1.8002	10.108	8.358	0.64528	0.3034	0.9874	0.6982	-0.2192	-6.028	6.003	11.66	NA	416	26	1993	2018
Phyciodes tulcis	1.821	1	0.333333333333333	-1	0.333333333333333	0.9431	0.02087	51.11	51.09	0.6952	-0.3769	2.059	2.395	4.0872	-13.928	20.98	30.92	NA	3	26	1993	2018
Phyciodes vesta	1.831	0.956043956043956	0	-0.82967032967033	0.000777927115444265	0.2621	0.0499	1.303	1.249	0.8525	0.3023	1.358	1.0684	-3.858	-10.968	4.3608	15.482	NA	14	26	1993	2018
Pieris napi	1.413	0.453607262302914	8.00691645195816e-06	-0.118028348463131	0.264645990800566	1.265	0.604	2.528	1.936	0.3703	-0.07693	0.7927	0.8525	-1.87363	-6.044	3.18	9.05	NA	102	26	1993	2018
Pieris rapae	1.453	0.672100441797112	0	-0.285018984572388	6.88482760258991e-08	4.1224	1.2808	14.005	12.554	0.708	0.30176	1.1108	0.8021	-0.7883	-5.9197	4.388	10.037	NA	414	26	1993	2018
Pieris virginiensis	2.881	NA	NA	NA	NA	0.00141	5.231e-16	837159310	837159310	2.141	-4.651	9.31	13.96	-16.41	-29.27	-0.7602	28.51	NA	1	24	1995	2018
Piruna cingo	0.791	1	0.333333333333333	-1	0.333333333333333	93.55	0.1602	53222	53221	0.1412	-1.386	1.67	3.056	17.276	4.8024	30.69	25.51	NA	3	26	1993	2018
Piruna pirus	1.816	0.678571428571428	0.10952380952381	-0.428571428571428	0.353571428571429	0.3774	0.122	1.203	1.088	0.88	0.3916	1.399	1.0294	-5.392	-10.837	0.1686	10.758	NA	9	26	1993	2018
Piruna polingi	1.537	-1	1	1	1	1.466	0.03097	69.5	69.47	0.6123	-0.5173	1.737	2.254	-2.448	-8.613	4.097	12.71	NA	2	26	1993	2018
Plebejus acmon	1.399	0.950555261766261	0	-0.22258064516129	0.0847477697889785	1.2543	0.44093	3.555	3.183	0.5817	0.21877	0.8878	0.6799	-1.51134	-5.9625	3.7402	9.325	NA	70	26	1993	2018
Plebejus icarioides	1.284	0.668989547038328	3.39972926996691e-06	-0.136933797909408	0.391929211172019	3.719	1.202	10.286	9.084	0.597	0.10081	1.0576	0.9673	0.2667	-7.884	7.78	15.219	NA	43	26	1993	2018
Plebejus lupini	1.37	0.875438596491228	0	-0.7	0.00118135857257756	2.72	0.9693	7.56	6.565	0.2995	-0.07529	0.699	0.8106	-0.739	-7.372	6.3723	12.436	NA	21	26	1993	2018
Plebejus neurona	38.01	-1	1	1	1	4.957	0.02618	1131	1131	-0.535	-2.121	0.9817	3.103	-7.798	-18.02	5.141	23.16	NA	3	22	1997	2018
Plebejus saepiolus	1.48	0.823167420814479	0	-0.0294117647058823	0.837327247148139	2.422	1.0066	5.541	4.532	0.3606	-0.231313	1.0187	1.1731	-1.58541	-8.62	5.919	14.321	NA	53	26	1993	2018
Plebejus shasta	1.046	1	0.00277777777777778	-0.828571428571429	0.0583333333333333	53.98	2.259	1165	1163	-0.7181	-1.9829	0.7184	2.375	0.8545	-12.058	14.914	25.89	NA	6	26	1993	2018
Poanes aaroni	0.819	0.690570299265951	0.000529668324961935	-0.567476002258611	0.00672828670446204	4	0.4275	38.46	38.02	0.08374	-0.88191	0.9413	1.784	2.814	-6.464	16.186	23.538	NA	25	26	1993	2018
Poanes hobomok	1.781	0.430243643521906	9.26591847655768e-09	-0.242473744421656	0.00163752894510995	1.431	0.8564	2.308	1.45	0.21752	-0.13385	0.5612	0.6902	-1.4449	-5.152	2.515	7.624	NA	197	26	1993	2018
Poanes massasoit	1.415	0.834289769221276	0	-0.529927187461434	2.09777537290432e-06	1.307	0.6906	2.435	1.761	0.5335	0.16239	0.8753	0.7247	0.08665	-3.039	3.409	6.421	NA	88	26	1993	2018
Poanes melane	2.301	0.887218045112782	0	0.494736842105263	0.0281231558886877	1.787	0.7398	4.11	3.359	0.3855	-0.19002	0.923	1.0593	1.3281	-2.4108	5.67	7.787	NA	26	26	1993	2018
Poanes taxiles	1.215	0.395604395604396	0.182195776349148	-0.0824175824175824	0.792485539146814	7.809	2.482	25.87	23.42	0.1688	-0.2842	0.5827	0.8608	1.47	-4.894	8.167	12.738	NA	15	26	1993	2018
Poanes viator	1.111	0.376270653029111	1.91231761035535e-05	-0.282335169158143	0.0015462015887243	3.08	1.504	6.178	4.654	0.18458	-0.3209	0.6517	0.9587	0.3963	-6.166	7.96	14.026	NA	146	26	1993	2018
Poanes yehl	2.707	0.963025210084034	0	-0.317035905271199	0.0681489763942025	2.251	0.6717	7.458	6.787	0.004891	-0.4674	0.4482	0.9068	0.1368	-6.177	8.464	15.233	NA	36	26	1993	2018
Poanes zabulon	1.521	0.701928662716394	0	0.0567629631148381	0.486878223705093	2.276	1.184	4.209	3.071	0.3452	-0.06605	0.7178	0.7815	3.834	-2.901	11.05	13.663	NA	178	26	1993	2018
Poladryas arachne	1.402	0.892857142857143	0.0123015873015873	-0.821428571428571	0.0341269841269841	3.625	0.6153	26.47	25.85	-0.1452	-0.7922	0.4379	1.133	-5.02	-11.199	2.849	13.487	NA	7	26	1993	2018
Polites baracoa	2.314	0.938235294117647	0	-0.644117647058823	0.00858955766612792	4.943	0.7343	32.83	32.1	-0.0661727	-0.8574	0.6189	1.468	8.382	-8.239	30.703	38.326	NA	21	26	1993	2018
Polites carus	7.048	0.485714285714286	0.355555555555556	-0.771428571428571	0.102777777777778	1.466	0.04247	82.28	82.24	-0.2964	-1.314	0.6356	1.944	-7.437	-13.77	0.1553	13.437	NA	6	26	1993	2018
Polites draco	1.956	0.7	0.0432539682539683	-0.933333333333333	0.000749559082892416	1.067	0.1554	7.53	7.378	0.3764	-0.3681	1.134	1.619	-0.1128	-6.801	7.356	15.216	NA	9	26	1993	2018
Polites mystic	1.689	0.579076542643177	0	-0.0277710939264151	0.737303366436249	1.708	0.6431	4.033	3.385	0.29769	-0.08839	0.6471	0.7628	-0.4563	-5.3645	4.807	9.77	NA	177	26	1993	2018
Polites origenes	2.12	0.678520984524522	0	0.0453761613572732	0.517935282582184	0.9314	0.6009	1.43	0.8265	0.3689	0.11422	0.6071	0.5009	-1.4755	-6.572	4.235	10.558	NA	243	26	1993	2018
Polites peckius	1.423	0.790599179615198	0	0.291888698639271	2.05272797047861e-05	1.79	0.9203	3.248	2.348	0.315	-0.06779	0.7453	0.8013	0.7766	-4.486	7.0282	11.043	NA	251	26	1993	2018
Polites sabuleti	1.001	0.878195488721805	0	-0.487218045112782	0.0308957411770012	0.5715	0.1277	2.5	2.38	0.8444	0.14211	1.42	1.1839	1.2223	-5.623	9.576	15.407	NA	24	26	1993	2018
Polites sonora	1.267	0.898901098901099	0	-0.221978021978022	0.444831815480673	0.8389	0.1901	3.689	3.499	0.6722	-0.04498	1.238	1.1832	-3.43	-8.298	2.3068	10.6	NA	15	26	1993	2018
Polites themistocles	1.971	0.43987050755027	0	-0.181068597821748	0.00217981033969274	1.434	0.8017	2.46	1.65	0.3453	0.07907	0.6078	0.5317	0.1154	-3.724	4.49	8.373	NA	335	26	1993	2018
Polites vibex	1.98	0.374642338793282	9.25582801719709e-05	-0.427047480821066	6.8502982784177e-06	1.545	0.8192	2.826	1.985	0.4344	0.06876	0.7824	0.7037	-0.5123	-4.378	3.586	7.977	NA	124	26	1993	2018
Polygonia comma	2.228	0.518541140419893	0	0.47322551976989	0	1.0038	0.5068	2.01	1.4868	0.4707	0.2096	0.7227	0.5065	0.3102	-3.482	4.43	7.715	NA	296	26	1993	2018
Polygonia faunus	2.609	0.699403322044831	2.28594266248932e-08	0.108047089179165	0.440126055614237	1.582	0.6981	3.489	2.794	0.06245	-0.25472	0.3925	0.6615	0.38726	-3.646	4.609	8.157	NA	54	26	1993	2018
Polygonia gracilis	2.186	0.920454545454545	0	-0.374331550802139	0.0325789660773229	0.7185	0.332	1.551	1.235	0.4402	0.03597	0.8872	0.7974	-2.369	-5.584	1.5585	7.278	NA	35	26	1993	2018
Polygonia interrogationis	1.567	0.778453918457296	0	-0.463960410614319	0	0.7095	0.3597	1.388	1.0368	0.543	0.26364	0.8283	0.5825	-1.6997	-4.184	0.9028	5.017	NA	388	26	1993	2018
Polygonia oreas	7.681	1	0.000396825396825397	-0.892857142857143	0.0123015873015873	0.1535	0.008925	2.769	2.76	0.9311	0.005146	1.826	1.83	0.5461	-6.58	8.176	15.38	NA	7	26	1993	2018
Polygonia progne	2.677	0.804286712356112	0	-0.0231219642025418	0.807669191315187	1.349	0.7048	2.503	1.776	0.2595	-0.02786	0.5296	0.5458	1.58	-0.5264	3.926	4.334	NA	126	26	1993	2018
Polygonia satyrus	3.245	0.965559901029611	0	-0.454186287812276	0.000133715432238269	0.8206	0.4215	1.575	1.164	0.3411	0.0809	0.5826	0.5052	-1.5703	-4.156	1.4122	5.433	NA	74	26	1993	2018
Polygonus leo	1.297	0.983516483516483	0	0.362637362637363	0.223986534640913	0.8312	0.08295	8.587	8.535	0.3997	-0.2921	1.191	1.608	-0.9528	-9.908	10.4027	18.62	NA	17	26	1993	2018
Pompeius verna	1.606	0.864393487917915	0	0.102261443743855	0.115573643149713	1.633	1.0696	2.428	1.368	0.35954	0.01777	0.702	0.6774	1.0088	-4.662	7.307	11.635	NA	288	26	1993	2018
Pontia beckerii	1.33	0.87965811965812	1.76713432341318e-06	-0.434529914529915	0.0275641881923998	2.351	0.8033	6.799	6.014	0.32834	-0.19186	0.8699	1.0502	-0.25908	-5.263	5.755	11.001	NA	26	26	1993	2018
Pontia occidentalis	1.121	0.777243293246993	0	-0.173974714770274	0.246690141994242	3.322	1.0641	9.698	8.644	0.2301	-0.18454	0.6396	0.8366	-0.2053	-8.9487	7.244	16.454	NA	47	26	1993	2018
Pontia protodice	0.86	-0.134886824685031	0.0437872398418925	-0.184480034166133	0.00567697312692654	2.768	1.0785	6.48	5.313	0.19798	-0.27891	0.6644	0.9187	-1.09613	-8.525	6.779	15.017	NA	254	26	1993	2018
Pontia sisymbrii	2.22	0.898901098901099	0	-0.30989010989011	0.280560336708067	1.165	0.10418	13.76	13.66	0.1724	-0.5527	0.8555	1.405	-0.0119	-12.096	12.007	22.36	NA	14	26	1993	2018
Problema bulenta	0.889	0.857142857142857	0.0238095238095238	-0.535714285714286	0.235714285714286	9.94	0.4349	150.5	150.1	-0.1092962	-1.0103	0.8034	1.732	-0.28577	-9.557	10.019	18.27	NA	8	26	1993	2018
Problema byssus	1.324	0.853234910985671	0	0.042336083369518	0.774539916379947	1.82	0.524	6.383	5.85	0.22375	-0.3317	0.7583	1.0778	1.935	-5.7481	9.886	15.55	NA	50	26	1993	2018
Proteides mercurius	4.324	NA	NA	NA	NA	0.1614	0	Inf	Inf	-0.3438	-18136	18124	36260	-50.03	-100	Inf	Inf	NA	1	17	1995	2016
Pseudocopaeodes eunus	119.894	NA	NA	NA	NA	1.506	0.1154	21.54	21.42	0.1759	-0.6365	0.9831	1.62	2.192	-27.54	44.17	71.71	NA	1	16	2001	2016
Pyrgus albescens	1.466	0.806086956521739	3.6183099516638e-06	-0.334782608695652	0.11013547354495	0.7778	0.176	3.417	3.259	0.8028	0.290228	1.282	1.0222	1.011	-6.227	9.761	15.414	NA	26	26	1993	2018
Pyrgus centaureae	121.593	1	1	-1	1	0.9026	0	Inf	Inf	-0.6385	-4412	4407	8820	-8.208	-100	Inf	Inf	NA	2	22	1993	2018
Pyrgus communis	1.595	0.704779769751266	0	-0.0752240664465803	0.228378868959476	1.7986	0.6212	4.944	4.175	0.382	0.04785	0.6846	0.6355	1.1565	-4.576	7.355	11.53	NA	293	26	1993	2018
Pyrgus oileus	1.275	0.621142015878858	2.19943308752059e-09	-0.154345654345654	0.179795054806296	2.026	1.112	3.629	2.527	0.5507	0.19834	0.8803	0.7036	0.2271	-6.888	7.48	14.22	NA	95	26	1993	2018
Pyrgus philetas	1.147	0.985714285714286	0	-0.367857142857143	0.177894090353816	0.3984	0.05171	3.242	3.189	0.5444	-0.16083	1.317	1.426	-1.813	-8.208	7.1666	15.758	NA	15	26	1993	2018
Pyrgus ruralis	3.159	0.904411764705882	0	-0.821078431372549	6.00437986544252e-05	1.19	0.2624	5.063	4.792	0.2231	-0.36299	0.7721	1.1421	0.26407	-5.31	7.358	12.741	NA	17	26	1993	2018
Pyrgus scriptura	2.554	0.860714285714286	0	-0.489285714285714	0.0665923053091992	4.4	0.5126	25.01	24.34	-0.03621	-0.6226	0.6303	1.299	3.827	-4.724	15.1862	19.354	NA	16	26	1993	2018
Pyrgus xanthus	26.259	NA	NA	NA	NA	327.2	1.552e-08	672250008580	672250008580	-3.096	-14.47	9.328	23.8	-8.799	-21.04	4.583	25.62	NA	1	18	1993	2010
Pyrrhopyge araxes	0.537	0.9	0.0833333333333333	0.4	0.516666666666667	0.003462	7.51e-06	1.354	1.354	2.497	0.8616	4.009	3.087	-0.5801	-10.662	6.904	16.88	NA	5	26	1993	2018
Quasimellana eulogius	1.027	1	1	-1	1	2.552	0.007889	814.2	814.2	0.8641	-0.7131	2.436	3.149	16.63	-8.561	49.74	58.3	NA	2	22	1993	2016
Rekoa marius	125.245	NA	NA	NA	NA	918997756585	5.271e-17	1.59517103753e+40	1.59517103753e+40	-7.572	-26.88	11.7	38.57	-15.57	-65.14	103.9	169	NA	1	17	1995	2016
Rhinthon osca	12.401	NA	NA	NA	NA	0.2795	0	Inf	Inf	-0.2765	-17611	17582	35193	-53.74	-100	Inf	Inf	NA	1	17	1995	2016
Satyrium acadica	1.502	0.221703321297484	0.0328954774915357	-0.302587210169795	0.00331653475208445	1.0284	0.5147	2.044	1.53	0.418	0.025	0.7815	0.7372	-1.0885	-6.6814	4.582	10.834	NA	104	26	1993	2018
Satyrium auretorum	1.099	0.918181818181818	0	-0.881818181818182	0.000668290061888925	3.598	0.3477	37.41	37.06	-0.13668	-0.9901	0.667	1.717	-4.0473	-13.208	5.739	19.47	NA	14	26	1993	2018
Satyrium behrii	0.988	0.545614035087719	0.0172007765021431	0.480701754385965	0.0389093373537536	0.2598	0.05494	1.174	1.118	1.1028	0.42825	1.757	1.2964	-1.8409	-8.029	4.2455	11.84	NA	20	26	1993	2018
Satyrium calanus	1.152	0.707220096583513	0	0.104013794424753	0.123948573615563	1.74	1.106	2.713	1.594	0.38241	0.04705	0.713	0.675	0.5061	-4.707	6.059	10.176	NA	268	26	1993	2018
Satyrium californica	1.42	0.617692307692308	0.00126901203852019	-0.511538461538461	0.00980673857643781	3.191	1.0755	8.286	7.227	-0.01824	-0.4931	0.5089	0.9182	-3.461	-8.048	1.6953	9.755	NA	28	26	1993	2018
Satyrium caryaevorum	1.447	0.748692402078586	0	-0.260846701460552	0.00825651358987313	3.298	1.61	6.622	5.024	0.026004	-0.2029	0.2504	0.4472	2.332	-1.4022	6.394	7.398	NA	120	26	1993	2018
Satyrium edwardsii	1.168	0.793472350434376	0	0.0393151152644823	0.732034460626337	6.228	2.528	14.62	12.18	0.03177	-0.4872	0.4827	0.985	1.646	-6.017	8.755	15.758	NA	91	26	1993	2018
Satyrium favonius	1.355	0.996953590873736	0	-0.579077002851958	3.71709459378121e-06	1.877	0.4893	6.676	6.201	0.054865	-0.4348	0.4963	0.8938	0.9331	-6.355	9.945	16.13	NA	66	26	1993	2018
Satyrium fuliginosa	1.08	0.880952380952381	0.00724206349206349	-0.380952380952381	0.359871031746032	1.169	0.1132	12.88	12.77	0.4177	-0.51854	1.268	1.741	0.612163	-7.831	10.821	18.15	NA	8	26	1993	2018
Satyrium kingi	48.138	0.933333333333333	0.000749559082892416	-0.233333333333333	0.551708553791887	11.25	1.694	59.86	57.73	-0.4913	-1.192	0.2751	1.516	3.898	-5.0569	18.285	22.499	NA	9	26	1993	2018
Satyrium liparops	2.782	0.905651408994105	0	-0.0949329711822381	0.204718058940418	0.9251	0.5812	1.438	0.8634	0.2574	0.056324	0.4485	0.3995	-0.9076	-4.647	3.07	7.52	NA	215	26	1993	2018
