Species	Overdispersion	Epsilon_Alpha_rho	Epsilon_Alpha_rho_p	Alpha_Tau_rho	Alpha_Tau_rho_p	mdn_Alph	mdn_Alph_ll	mdn_Alph_ul	mdn_Alph_iw	mdn_Eps	mdn_Eps_ll	mdn_Eps_ul	mdn_Eps_iw	mdn_Tau	mdn_Tau_ll	mdn_Tau_ul	mdn_Tau_iw	Total.N.butterflies	N.sites	N.years	First.year	Last.year
Dymasia dymas	0.998	0.866666666666667	0.00268141517103888	-0.0181818181818182	0.972841176143636	4.487	0.3286	56.09	55.77	0.67733	-0.1482	1.4147	1.678	3.135	-6.113	12.699	18.35	NA	10	26	1993	2018
Electrostrymon angelia	1.29	0.975232198142415	8.35820902642545e-06	-0.0629514963880289	0.805011739019859	2.082	0.3484	11.82	11.48	0.12118	-0.5481	0.8227	1.463	1.9107	-5.876	10.472	15.31	NA	22	26	1993	2018
Electrostrymon mathewi	111.28	0.5	1	-1	0.333333333333333	7528459070	43.48	7.59710713726e+17	7.59710713726e+17	-1.517	-4.746	1.733	6.456	129.8	51.11	241.9	190.8	NA	3	26	1993	2018
Emesis ares	1.171	1	0.0833333333333333	-0.2	0.916666666666667	3.177e-05	8.072e-08	0.01287	0.01287	2.983	1.485	4.475	2.988	-2.7936	-9.415	4.0514	13.627	NA	4	26	1993	2018
Emesis emesia	50.957	NA	NA	NA	NA	0.0001648	0	Inf	Inf	-2.587	-66007	65955	131962	-100	-100	Inf	Inf	NA	1	17	1995	2016
Emesis zela	1.218	1	0.0166666666666667	-0.1	0.95	4.448	0.03827	527.5	527.5	0.2163	-0.9479	1.41	2.324	2.499	-2.664	11.188	13.701	NA	5	26	1993	2018
Enodia anthedon	1.984	0.436484822140115	2.85801938629438e-11	-0.445462339105026	8.81723818732134e-12	1.3004	0.6753	2.36	1.69	0.4691	0.20414	0.7093	0.5057	-0.5715	-3.435	2.756	6.275	NA	249	26	1993	2018
Enodia creola	3.582	0.920720720720721	0	0.112483912483912	0.512222008128082	2.016	0.7452	5.316	4.591	0.11611	-0.2809	0.4925	0.7658	1.705	-3.4882	7.735	10.971	NA	43	26	1993	2018
Enodia portlandia	1.983	0.0565206118745139	0.675466114876231	-0.68634949442572	1.10126641916127e-08	1.153	0.4682	2.745	2.278	0.3298	-0.030918	0.6536	0.685	-0.3445	-6.5667	6.276	14.865	NA	63	26	1993	2018
Epargyreus clarus	1.793	0.764247485573879	0	0.0478084461631945	0.385025678121526	2.5516	0.989	6.585	5.727	0.50601	0.1649	0.8425	0.67	0.6356	-4.915	6.136	10.67	NA	395	26	1993	2018
Epargyreus zestos	139.185	NA	NA	NA	NA	5.802e-05	0	Inf	Inf	-2.401	-60999	61014	122013	-81.71	-100	Inf	Inf	NA	1	17	2001	2018
Ephyriades brunneus	1.951	0.987878787878788	0	-0.915151515151515	0.000466722165549445	5.171	0.6162	41.66	41	0.06877	-0.7956	0.9197	1.641	0.8442	-6.754	9.703	17.759	NA	10	26	1993	2018
Erebia callias	1.401	1	1	-1	1	1.629	0.0003862	7298	7298	1.826	-2.418	6.066	8.484	-7.143	-21.48	8.82	30.31	NA	2	13	1993	2007
Erebia discoidalis	1.469	1	0.333333333333333	-1	0.333333333333333	28.94	0.04832	17379	17379	-0.3248	-3.498	2.845	6.343	7.313	-16.37	29.95	44.52	NA	3	25	1994	2018
Erebia epipsodea	1.247	0.457142857142857	0.0386285247772619	-0.21038961038961	0.358327562291079	3.338	1.0169	10.801	9.784	0.2935	-0.22333	0.7384	0.989	-4.507	-10.139	4.1613	14.756	NA	21	26	1993	2018
Erebia magdalena	20.094	NA	NA	NA	NA	0.007106	0	Inf	Inf	-2.761	-65835	65844	131679	-69.91	-100	Inf	Inf	NA	1	12	1993	2007
Erebia theano	1.409	1	1	-1	1	0.19	3.658e-05	224.7	224.7	0.8488	-2.058	4.928	6.986	-10.459	-31.22	28.415	59.64	NA	2	26	1993	2018
