Genus	Species	Family	Subfamily	Native	Habitat	NCGR	OverwinteringStage	MinSouthBroodsPerYear	MaxSouthBroodsPerYear	MinNorthBroodsPerYear	MaxNorthBroodsPerYear	Clutches	LarvalColor	Hair	LarvaSequester	SouthFlightTime	NorthFlightTime	AdultFeeding	MinWingSpan	MaxWingSpan	AdultSize	AdultColor
Hamadryas	amphinome	Nymphalidae	Biblidinae	yes	both	G5		1		1		clutches	aposematic	yes		throughout the year in Mexico and the tropics	September in Texas	rotting fruit	78	86	82.0	aposematic
Hamadryas	februa	Nymphalidae	Biblidinae	yes	both	G5		1		1		singly	aposematic	yes		throughout the year in the tropics	August - October in south Texas	sap and rotting fruit	70	86	78.0	aposematic
Hamadryas	guatemalena	Nymphalidae	Biblidinae	yes	both	G4		1		1		singly	aposematic	yes		all year in the tropics	August in south Texas	sap, dung, and rotting fruit	76	98	87.0	aposematic
Heliconius	charithonia	Nymphalidae	Heliconiinae	yes	both	G5		1				clutches	aposematic	yes		all year in south Texas and southern Flordia		nectar	70	101	85.5	aposematic
Heliconius	erato	Nymphalidae	Heliconiinae	yes	both	G5		1		2		singly	aposematic	yes		all year in the tropics	June and August - September	nectar, pollen  	67	80	73.5	aposematic
Heliopetes	domicella	Hesperiidae	Pyrginae	yes	both	G5		1		1		singly	cryptic	yes		all year in the tropics	April - December in south Texas	nectar	29	35	32.0	aposematic
Heliopetes	ericetorum	Hesperiidae	Pyrginae	yes	both	G4		2	3			singly	cryptic	yes		April - October		nectar	32	38	35.0	aposematic
Heliopetes	laviana	Hesperiidae	Pyrginae	yes	both	G5		2				singly	cryptic	yes		throughout the year		nectar	35	42	38.5	aposematic
Heliopetes	macaira	Hesperiidae	Pyrginae	yes	both	G5		1					aposematic	yes		April - November		nectar	32	35	33.5	aposematic
Heliopetes	sublinea	Hesperiidae	Pyrginae																			aposematic
Hemiargus	ceraunus	Lycaenidae	Polyommatinae	yes	both	G5		1				singly	cryptic	yes		throughout the year in Texas and south Flordia		nectar	20	30	25.0	aposematic
Hemiargus	isola	Lycaenidae	Polyommatinae	yes	both	G5		3		1		singly	cryptic	yes		all year in south Texas	March - November	nectar	20	29	24.5	aposematic
Hermeuptychia	sosybius	Nymphalidae	Satyrinae	yes	both	G5		3		3		singly	cryptic	yes		throughout the year in South Texas and Deep South	April - October	sap and rotting fruit	32	38	35.0	aposematic
Hesperia	attalus	Hesperiidae	Hesperiinae	yes	both	G3		2								May - September		nectar	35	42	38.5	cryptic
Hesperia	columbia	Hesperiidae	Hesperiinae	yes	both	G4		2								March - June, September - October		nectar	22	34	28.0	cryptic
Hesperia	comma	Hesperiidae	Hesperiinae	yes	both	G5	chrysalis	1				singly	cryptic	no		early June - mid September		nectar	22	30	26.0	aposematic
Hesperia	dacotae	Hesperiidae	Hesperiinae	yes	natural	G2	larva	1				singly	cryptic	yes				nectar	25	35	30.0	aposematic
Hesperia	juba	Hesperiidae	Hesperiinae	yes	natural	G5		2	2	2	2	singly	aposematic	no					32	42	37.0	aposematic
Hesperia	leonardus	Hesperiidae	Hesperiinae	yes	both	G4	larva	1	1	1	1		cryptic	yes				nectar	32	45	38.5	aposematic
Hesperia	lindseyi	Hesperiidae	Hesperiinae	yes	natural	G3	eggs	1	1	1	1	singly							29	32	30.5	aposematic
Hesperia	meskei	Hesperiidae	Hesperiinae	yes	both	G3	larva			2	2	singly	cryptic						32	39	35.5	aposematic
Hesperia	metea	Hesperiidae	Hesperiinae	yes	natural	G4	larva	1	1	1	1	singly	aposematic	no					29	35	32.0	aposematic
Hesperia	miriamae	Hesperiidae	Hesperiinae	yes	natural	G2	larva	1	1	1	1								29	32	30.5	aposematic
Hesperia	nevada	Hesperiidae	Hesperiinae	yes	natural	G5	larva	1	1	1	1	singly							29	37	33.0	aposematic
Hesperia	ottoe	Hesperiidae	Hesperiinae	yes	natural	G3	larva	1	1	1	1	singly							32	43	37.5	aposematic
Hesperia	pahaska	Hesperiidae	Hesperiinae	yes	natural	G5	larva	2	2	1	1	singly							32	42	37.0	aposematic
Hesperia	sassacus	Hesperiidae	Hesperiinae	yes	both	G5	larva	1	1	1	1		cryptic					nectar	32	35	33.5	aposematic
Hesperia	uncas	Hesperiidae	Hesperiinae	yes	natural	G4		1	2	1	2	singly	cryptic					nectar	29	42	35.5	aposematic
Hesperia	viridis	Hesperiidae	Hesperiinae	yes	natural	G5		2	2	2	2	singly						nectar	25	38	31.5	aposematic
Hesperia	woodgatei	Hesperiidae	Hesperiinae	yes	natural	G3	larva	1	1	1	1	singly						nectar	32	43	37.5	aposematic
