Site	Lat	Lon	Merge
Anahuac National Wildlife Refuge	29.595	-94.5155	NA
Anchorage, AK.	61.1642	-149.7773	NA
Andover, MA.	42.65	-71.13	NA
Angelina National Forest, TX.	31.25	-94.6667	NA
Ann Arbor City, MI.	42.2805	-83.7066	NA
Annutteliga Hammock	28.73	-82.452	NA
Antioch, NH.	42.95	-72.27	NA
Anza Borrego Desert State Park, CA.	33.27	-116.42	NA
Anzalduas-Bentsen, TX.	26.13	-98.43	NA
Apalachicola River WEA	29.8283	-85.0015	NA
Archer, FL.	29.6667	-82.3392	NA
Arkansas City, KS.	37.0412	-97.0385	NA
Armand Bayou Nature Center, TX.	29.55	-95.05	NA
Arrowhead Marsh, IN.	41	-85.3	NA
Arthurdale	39.4958	-79.8116	NA
Ashe County, NC.	36.4	-81.45	NA
Asheville, NC.	35.58	-82.6	NA
Ashland Co.	40.7191	-82.3393	NA
Ashland, OR.	42.13	-122.6	NA
Ashtabula  Co.	41.6433	-80.7806	NA
Atascosa Highlands, AZ.	31.48	-111.16	NA
Athabasca, AB, Canada.	54.7	-113.37	NA
Athens	39.4053	-82.1278	NA
Atigun Pass, AK.	68.1	-149.72	NA
Atmore, AL.	31.02	-87.5	NA
Attwater, TX.	29.6833	-96.2833	NA
Augusta Co.	38.181	-79.032	NA
Aullwood Audubon Center and Farm, OH.	39.8732	-84.2754	NA
Austin, TX.	30.321	-97.7736	NA
Avoca	43.1829	-90.4267	NA
Avon Park Air Force Range	27.6167	-81.3333	NA
Awenda Provincial Park	44.8173	-79.9835	NA
Back Bay	36.6479	-76.0159	NA
Badlands National Park, SD.	43.82	-102.36	NA
Baker Ponds, NH.	43.8898	-71.9685	NA
Balcones-Canyonlands, TX.	30.58	-97.98	NA
Bald Eagle State Park, PA.	41.05	-77.75	NA
Bald Mountain Recreation Area, MI.	42.75	-83.21	NA
Baraboo, WI.	43.4891	-89.7387	NA
Barataria, LA.	29.72	-90.12	NA
Barnegat, NJ.	39.7533	-74.2231	NA
Barnstable #1, MA.	41.68	-70.4	NA
Barnstable #2, MA.	41.62	-70.55	NA
Barnstable	41.7012	-70.2996	NA
Bath Co.	38	-79.8028	NA
Bay City, TX.	28.98	-95.97	NA
Bayfield Co. South	46.57	-91.0956	NA
Bear Island	47.7833	-91.9167	NA
Bear Lake National Wildlife Refuge	42.1714	-111.3245	NA
