Site	Lat	Lon	Merge
Southern Carbon County, PA.	40.87	-75.78	NA
Southern Georgian Bay	44.8173	-79.9835	NA
Southern Gravellies, MT.	45.8667	-111.6833	NA
Southern Kettle Moraine, WI.	42.88	-88.53	NA
Southern Lake Norman, NC.	35.4425	-80.869	NA
Southern New Haven Co.	41.3658	-72.9218	NA
Southern Rockingham County, NH.	42.9	-71.12	NA
Southport	33.9597	-77.9861	NA
Southwest Washtenaw, MI.	42.1023	-84.0389	NA
Split Oak/Moss Park, FL.	28.3482	-81.2321	NA
Split Oak/Moss Park, FL.	28.1184	-82.5841	NA
Spondin, AB, Canada.	51.9	-111.62	NA
Spring Creek, TX.	30.1167	-95.55	NA
Spring Cypress Parklands	30.0496	-95.3808	NA
Spring Island, SC.	32.34	-80.85	NA
Springbrook, IA.	42.17	-90.47	NA
Springdale, NJ.	41.0732	-74.8191	NA
Springerville, AZ.	34.08	-109.32	NA
Springfield Twp., MI.	42.77	-83.53	NA
Springfield, VT.	43.33	-72.53	NA
Spruce Knob, WV.	38.83	-79.5	NA
St. Albert-Wagner Natural Area, AB, Canada.	53.66	-113.79	NA
St. Joseph County, MI.	41.83	-85.67	NA
St. Petersburg, FL.	27.8136	-82.7286	NA
St. Tammany Parish, LA.	30.42	-90.42	NA
Staten Island, NY.	40.572	-74.147	NA
Steuben, ME.	44.55	-67.88	NA
Stokes County - South-Central, NC.	36.37	-80.18	NA
Stone Mountain Park	33.7781	-84.2412	NA
Stone Road Glade Natural Area	34.0799	-93.904	NA
Stormville, NY.	41.59	-73.7511	NA
Storrs, CT.	41.8	-72.2333	NA
Strandburg, SD.	45.041	-96.7607	NA
Strathcona, AB, Canada.	53.5	-113.17	NA
Strawberry Plains Audubon Center	34.8352	-89.4698	NA
Stroudsburg, PA.	40.9897	-75.2164	NA
Sublett Mountains, ID.	42.3782	-112.9948	NA
Sullivan Co.	40.3204	-92.8649	NA
Surry Co., NC.	36.35	-80.5333	NA
Susquehanna County, PA.	41.83	-75.88	NA
Suwannee River, FL.	30.378	-83.1658	NA
Swamp Poodle, MD.	39.02	-76.77	NA
Sweetwater Creek	33.7525	-84.6287	NA
Sycamore Creek, AZ.	33.8	-111.48	NA
Taberville, MO.	38.05	-93.98	NA
Tallgrass Prairie Nature Preserve, KS.	38.4	-96.53	NA
Tallgrass Prairie Preserve, OK.	36.8323	-96.4126	NA
Tarpon Springs West	28.1184	-82.5841	NA
Tarrant Co.	32.7247	-97.4804	NA
Tecate Peak, CA.	32.6	-116.33	NA
Tenmile Creek, MT.	46.56	-112.32	NA
Terre Haute, IN.	39.47	-87.4	NA
Teton Basin, ID/WY.	43.62	-111.12	NA
Tewaukon Lake, ND.	45.9943	-97.4587	NA
The Red Hills, GA.	30.8	-83.97	NA
Theodore Roosevelt National Park - North Unit, ND.	47.6	-103.35	NA
Tivoli Bays, NY.	42.03	-73.92	NA
Tooley Pond, NY.	44.28	-74.97	NA
Torreya, FL.	30.576	-85.0218	NA
Towner's Woods, OH.	41.112	-81.2717	NA
Trail of Tears State Park	37.405	-89.464	NA
Trapper Creek, ID.	42.1678	-113.98	NA
Trempealeau, WI.	44.0701	-91.4112	NA
Trinity River, TX.	30.3333	-94.9167	NA
Truro, MA.	42.0167	-70.1167	NA
Tryon, NC.	35.22	-82.23	NA
Tulsa, OK.	36.2063	-95.9224	NA
Turtle Lake Sanctuary, SK, Canada.	53.58	-108.58	NA
Turtle River Park, ND.	47.93	-97.48	NA
Twin Falls	42.5563	-114.4733	NA
Twinsburg, OH.	41.26	-81.5	NA
Tyrell Park, TX.	29.92	-94.15	NA
UCLA Campus, Los Angeles, CA.	34.07	-118.45	NA
Ukalta Dunes, AB, Canada.	53.98	-117.48	NA
Union City, PA.	41.9	-79.78	NA
Upland Hills Farm, MI.	42.83	-83.07	NA
Upper Gallinas River Watershed	35.6967	-105.3828	NA
Utica, NY.	43.0828	-75.3263	NA
Utopia, OR.	44.5	-121	NA
Val-Des-Monts, QC, Canada.	45.65	-75.72	NA
Vandross Bay, SC.	33.62	-79.33	NA
Vashon Island, WA.	47.422	-122.4605	NA
Vegreville, AB, Canada.	53.5	-112.05	NA
Victoria, TX.	28.85	-97.8	NA
Viola, TN.	35.58	-85.88	NA
Virginia Beach	36.8743	-76.0396	NA
Vischer Ferry, NY.	42.7178	-73.833	NA
Voluntown, CT.	41.58	-71.85	NA
W.J. Janes Memorial Drive, Copeland, FL.	26.05	-81.38	NA
Waco, TX.	31.55	-97.15	NA
Wainwright Dunes, AB, Canada.	52.59	-110.52	NA
Wake Co.	35.8563	-78.6599	NA
Walk-in-the-Water, FL.	27.85	-81.3667	NA
Wallkill River National Wildlife Refuge, NJ.	41.2007	-74.5643	NA
Warsaw, IL.	40.37	-91.4025	NA
Washington Co., RI.	41.4333	-71.7	NA
Washington County, AR.	35.98	-94.17	NA
Washington, DC.	38.9001	-76.9834	NA
Washington	38.6845	-78.1277	NA
Waterbury, CT.	41.53	-73.1	NA
Waterford, VA.	39.2	-77.65	NA
Waterton Lake National Park, AB, Canada.	49.11	-114	NA
Waterton Lakes National Park	49.11	-113.84	NA
Waubonsie, IA.	40.7662	-95.7401	NA
Wautoma, WI.	44.07	-89.25	NA
Wazee, WI.	44.277	-90.6597	NA
Wearin Prairie, IA.	41.08	-95.55	NA
Weeks Bay, AL.	30.42	-87.83	NA
Wehr Nature Center, WI.	42.9304	-87.9791	NA
Wekiva River, FL.	28.7833	-81.3667	NA
West Anne Arundel Co.	39.0783	-76.6848	NA
West Cook Lake Road	47.01	-92.2811	NA
West Glacier, MT.	48.4	-114.03	NA
West Milford, NJ.	41.13	-74.37	NA
West Redding/Fairfield Co.	41.2958	-73.4489	NA
West Rutland, VT.	43.5941	-73.0379	NA
West St. Tammany, LA.	30.47	-90.17	NA
Western Garrett Co.	39.4833	-79.4833	NA
Western Hamilton Co. Parks	39.188	-84.7306	NA
Western Long Pine Key, Everglades National Park, FL.	25.4	-80.8167	NA
Western Montgomery Co.	39.1667	-77.3667	NA
Western Niagara Co.	43.2127	-78.9154	NA
Western Suffolk, NY.	40.67	-73.75	NA
Western Wahkiakum Co.	46.3568	-123.5813	NA
Weston Pass, Lake-Park Counties, CO.	39.13	-106.18	NA
Westport/Fairfield, CT.	41.17	-73.32	NA
Whiskey Gap, AB, Canada.	49.03	-113.03	NA
White Clay Creek, PA.	39.7	-75.75	NA
White Co. East	35.9415	-85.3624	NA
White County	34.6923	-83.7687	NA
White Memorial Conservation Center, CT.	41.75	-73.25	NA
Whitefish Point, MI.	46.6799	-85.1347	NA
Whitford Lake, AB, Canada.	53.83	-112.2	NA
Whitney Point, NY.	42.3333	-75.8833	NA
Wichita Mountains Wildlife Refuge, OK.	34.742	-98.6659	NA
Wichita, KS.	37.68	-97.33	NA
Williamsburg	37.3563	-76.7383	NA
Williamsburg	36.7331	-84.1547	NA
Williamson County, TX.	30.72	-97.72	NA
Williamston	35.8601	-77.0398	NA
Willow Slough	38.5827	-121.7164	NA
Wilmington, NC.	34.2667	-77.8833	NA
Wilton Wildlife Park, NY.	43.07	-73.75	NA
Windsor, NY.	42.1	-75.6167	NA
Winnebago County, WI.	44.12	-88.6	NA
Wise/Montague Counties, TX.	33.37	-97.58	NA
Withlacoochee River	28.8326	-82.2162	NA
Withlacoochee River	28.1184	-82.5841	NA
Woldumar Nature Center, Lansing, MI.	42.68	-84.62	NA
Wolf Creek, OH.	41.2083	-81.7756	NA
Wolfsville, MD.	39.57	-77.55	NA
Woodbridge/Bethany, CT.	41.42	-73	NA
Woodpile Creek, SK, Canada.	49.17	-109.5	NA
Woodshole, MA.	41.52	-70.67	NA
Wright Patman Lake, TX.	33.33	-94.17	NA
Yadkin County, NC.	36.17	-80.55	NA
Yancey County, NC.	35.9	-82.22	NA
Yankton, SD.	42.9959	-97.3702	NA
Yellow Pine, ID.	44.9265	-115.4847	NA
Yellow River State Forest, IA.	43.1272	-91.2109	NA
Yellowstone National Park	44.9764	-110.6996	NA
Yreka, CA.	41.77	-122.7	NA
Yuba Pass, CA.	39.6619	-120.5519	NA
Zama CFS Camp, AB, Canada.	59.39	-118.52	NA
